COUNTRY,Country,SEX,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
USA,United States,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.85161112133844,,
USA,United States,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.85999989509582,,
USA,United States,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.43569194338095,,
USA,United States,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.90000009536743,,
USA,United States,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.93135763345093,,
USA,United States,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.1073649953849,,
USA,United States,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.66341869178578,,
COL,Colombia,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.30589463384875,,
COL,Colombia,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.95000004768371,,
COL,Colombia,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.58999991416931,,
COL,Colombia,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.74713670700368,,
COL,Colombia,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.07000017166137,,
COL,Colombia,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.21999979019165,,
COL,Colombia,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.71917746630251,,
COL,Colombia,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.68662563489964,,
COL,Colombia,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.78375005810067,,
COL,Colombia,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.30305544543074,,
COL,Colombia,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.85120851323019,,
COL,Colombia,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.66141731219083,,
CAN,Canada,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.04666646035996,,
CAN,Canada,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.11726023007745,,
CAN,Canada,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,1.95616438356164,,
CAN,Canada,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.87253331377935,,
CAN,Canada,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.01479460833823,,
CAN,Canada,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.64657534246575,,
